,country,dollar_price
1296,Venezuela,0.0
1072,Venezuela,0.67
1016,Venezuela,0.67
147,Saudi Arabia,0.8
56,Argentina,0.83
80,South Africa,0.97
159,Uruguay,1.03
1343,Oman,1.05
1404,Kuwait,1.05
1332,Kuwait,1.05
1415,Oman,1.05
1548,Kuwait,1.1
1703,Oman,1.1
1476,Kuwait,1.1
1631,Oman,1.1
1848,Oman,1.15
1775,Oman,1.15
1692,Kuwait,1.15
1620,Kuwait,1.15
1559,Oman,1.16
45,Philippines,1.18
1302,Bahrain,1.2
1374,Bahrain,1.2
49,South Africa,1.21
1487,Oman,1.21
11,Hungary,1.22
54,Thailand,1.22
95,China,1.24
34,China,1.24
6,China,1.24
47,Russia,1.25
1837,Kuwait,1.25
144,Philippines,1.25
108,Philippines,1.25
1764,Kuwait,1.25
78,Russia,1.26
957,Ukraine,1.27
76,Philippines,1.27
85,Thailand,1.28
127,China,1.3
1909,Kuwait,1.3
240,China,1.31
62,China,1.31
208,China,1.31
167,China,1.31
110,Russia,1.32
39,Hungary,1.32
40,Indonesia,1.35
944,Russia,1.37
18,Poland,1.38
7,Czech Republic,1.39
66,Hong Kong,1.4
1590,Bahrain,1.4
117,Thailand,1.4
1518,Bahrain,1.4
1446,Bahrain,1.4
19,Russia,1.41
151,Sri Lanka,1.41
1920,Oman,1.42
35,Czech Republic,1.44
146,Russia,1.45
157,Ukraine,1.45
26,Thailand,1.45
198,Ukraine,1.45
10,Hong Kong,1.46
155,Thailand,1.48
160,Venezuela,1.48
184,Philippines,1.48
46,Poland,1.48
77,Poland,1.48
186,Russia,1.5
195,Thailand,1.5
1734,Bahrain,1.5
21,South Africa,1.5
1662,Bahrain,1.5
1807,Bahrain,1.5
15,Malaysia,1.51
42,Malaysia,1.51
91,Brazil,1.52
176,Indonesia,1.53
760,India,1.53
1143,Egypt,1.53
38,Hong Kong,1.53
215,Indonesia,1.54
230,Thailand,1.54
1056,Russia,1.54
815,India,1.56
1181,Ukraine,1.56
1069,Ukraine,1.57
322,China,1.57
249,Indonesia,1.57
281,China,1.57
268,Thailand,1.58
202,Argentina,1.58
221,Philippines,1.58
651,India,1.59
1880,Bahrain,1.6
98,Egypt,1.6
1125,Ukraine,1.62
1013,Ukraine,1.62
257,Philippines,1.63
223,Russia,1.64
100,Hong Kong,1.64
315,Venezuela,1.65
597,India,1.65
63,Czech Republic,1.66
1423,Russia,1.67
132,Egypt,1.67
138,Malaysia,1.68
104,Malaysia,1.68
1293,Ukraine,1.68
71,Malaysia,1.68
705,India,1.68
1766,Lebanon,1.68
67,Hungary,1.69
68,Indonesia,1.7
17,New Zealand,1.7
271,Ukraine,1.7
213,Hong Kong,1.71
134,Hong Kong,1.71
288,Hong Kong,1.71
329,Hong Kong,1.71
174,Hong Kong,1.71
247,Hong Kong,1.71
298,Philippines,1.73
901,Ukraine,1.73
1856,Russia,1.75
178,Malaysia,1.75
290,Indonesia,1.75
871,India,1.75
331,Indonesia,1.76
1237,Ukraine,1.76
1694,Lebanon,1.77
309,Thailand,1.77
191,Sri Lanka,1.77
136,Indonesia,1.77
259,Russia,1.78
58,Brazil,1.8
44,New Zealand,1.8
73,New Zealand,1.8
312,Ukraine,1.8
123,Brazil,1.8
172,Egypt,1.8
30,Brazil,1.8
1783,Russia,1.82
286,Egypt,1.82
1711,Russia,1.82
350,Thailand,1.82
200,Uruguay,1.83
12,Indonesia,1.83
374,Malaysia,1.83
292,Malaysia,1.83
217,Malaysia,1.83
251,Malaysia,1.83
333,Malaysia,1.83
102,Indonesia,1.84
273,Uruguay,1.84
469,Sri Lanka,1.84
428,Sri Lanka,1.84
211,Egypt,1.85
1314,Egypt,1.85
1199,Egypt,1.85
984,India,1.85
353,Ukraine,1.85
305,Sri Lanka,1.86
264,Sri Lanka,1.86
1059,South Africa,1.87
300,Russia,1.88
510,Sri Lanka,1.88
164,Britain,1.88
205,Britain,1.88
679,Ukraine,1.88
124,Britain,1.88
391,Thailand,1.88
339,Philippines,1.89
346,Sri Lanka,1.89
410,Hong Kong,1.9
245,Egypt,1.9
432,Thailand,1.9
3,Britain,1.9
370,Hong Kong,1.9
327,Egypt,1.91
1000,Russia,1.91
928,India,1.91
542,India,1.91
1869,Turkey,1.92
1040,India,1.92
1365,Ukraine,1.92
142,Pakistan,1.93
1639,Russia,1.93
237,Britain,1.94
278,Britain,1.94
1644,South Africa,1.94
1403,Jordan,1.95
1331,Jordan,1.95
94,Chile,1.96
387,Sri Lanka,1.96
380,Philippines,1.98
319,Britain,1.99
59,Britain,1.99
31,Britain,1.99
112,South Africa,1.99
92,Britain,1.99
1046,Malaysia,2.0
1102,Malaysia,2.0
435,Ukraine,2.0
378,Pakistan,2.0
1944,Venezuela,2.0
1158,Malaysia,2.0
476,Ukraine,2.0
1437,Ukraine,2.0
1255,Egypt,2.01
96,Czech Republic,2.02
1171,South Africa,2.02
70,Japan,2.02
1370,Argentina,2.03
372,Indonesia,2.04
643,Estonia,2.04
589,Estonia,2.04
412,Indonesia,2.05
89,Argentina,2.05
116,Taiwan,2.06
1112,Russia,2.06
84,Taiwan,2.06
1495,Russia,2.06
149,South Africa,2.07
517,Ukraine,2.07
421,Philippines,2.07
341,Russia,2.08
363,China,2.08
403,China,2.08
444,China,2.08
423,Russia,2.09
1065,Taiwan,2.09
145,Poland,2.1
1351,Russia,2.1
33,Chile,2.1
109,Poland,2.1
451,Hong Kong,2.11
492,Hong Kong,2.11
