name,url,model,price,currency,sku,release_date,brand,category,fuel_type,color,interior_color,vehicle_transmission,engine,total_km_driven,wheel_configuration,images,source,uniq_id,scraped_at
2020 Ford Escape,https://www.truecar.com/used-cars-for-sale/listing/1FMCU0H68LUA76407/2020-ford-escape/,Escape,,USD,1FMCU0H68LUA76407,2020,Ford,SUV,Gas,Ingot Silver Metallic,Ebony,Automatic,1.5L Inline-3 Gas Turbocharged,36402,FWD,https://listings-prod.tcimg.net/listings/18315/07/64/1FMCU0H68LUA76407/VLA7LVXJIMKMPESZGPYEI5LADA-cr-60.jpg | https://listings-prod.tcimg.net/listings/18315/07/64/1FMCU0H68LUA76407/NZT6UHWDNDWY5GDUPULJZY6MEU-cr-60.jpg | https://listings-prod.tcimg.net/listings/18315/07/64/1FMCU0H68LUA76407/U7ULB4KSOG5VMJTOWRB7HLFWOQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/18315/07/64/1FMCU0H68LUA76407/AT76YB25OIXGYVY7W6ZJDBWOHU-cr-60.jpg | https://listings-prod.tcimg.net/listings/18315/07/64/1FMCU0H68LUA76407/27V57KSFTI7DSNWLL3EBFQ6QLY-cr-60.jpg,truecar,b9d76ac7-f458-5cd5-97bc-6c9c608d30e1,07/13/22
2016 Jeep Grand Cherokee,https://www.truecar.com/used-cars-for-sale/listing/1C4RJFAG5GC404830/2016-jeep-grand-cherokee/,Grand Cherokee,21897,USD,1C4RJFAG5GC404830,2016,Jeep,SUV,Gas,Bright White Clearcoat,Black,Automatic,3.6L V-6 Gas,94672,4WD,https://listings-prod.tcimg.net/listings/23176/30/48/1C4RJFAG5GC404830/CMXTRUKIBSW3XWI2H2KTNOJIEU-cr-60.jpg | https://listings-prod.tcimg.net/listings/23176/30/48/1C4RJFAG5GC404830/PUJ74XDHHKBNEMU2XTEBLTCS24-cr-60.jpg | https://listings-prod.tcimg.net/listings/23176/30/48/1C4RJFAG5GC404830/X2BHZR63A3QXTLAFDB7SFLYUGE-cr-60.jpg | https://listings-prod.tcimg.net/listings/23176/30/48/1C4RJFAG5GC404830/HCDY7KAUSIFPWOKJOABTPMXCPU-cr-60.jpg | https://listings-prod.tcimg.net/listings/23176/30/48/1C4RJFAG5GC404830/6PVABE3CYUH2RN6RV53ZHKAM7E-cr-60.jpg,truecar,b5ced723-09c4-53e5-a303-4d01846908da,07/13/22
2014 Ford F-150,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1E60EFB79026/2014-ford-f-150/,F-150,33000,USD,1FTFW1E60EFB79026,2014,Ford,Pickup Truck,Gas,White,Marina Blue/Black,Automatic,6.2L V-8 Gas,55475,4WD,https://listings-prod.tcimg.net/listings/104997/26/90/1FTFW1E60EFB79026/PE25GTVXNU7SBTRFWVOWARPHBY-cr-60.jpg | https://listings-prod.tcimg.net/listings/104997/26/90/1FTFW1E60EFB79026/5O5GGVH3EPFKZ3CYZAPV34OO6I-cr-60.jpg | https://listings-prod.tcimg.net/listings/104997/26/90/1FTFW1E60EFB79026/S3RIF5SJXYZAJY2PAQZO2M3FTQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/104997/26/90/1FTFW1E60EFB79026/UDIMJNHTJMXGJFNAHCEGJV2SJY-cr-60.jpg | https://listings-prod.tcimg.net/listings/104997/26/90/1FTFW1E60EFB79026/TDMQM4RCBDRMXUXKK2UL272J5Y-cr-60.jpg,truecar,054e0f70-bfcb-537f-a8ef-049c5573da4d,07/13/22
2019 Ram 1500,https://www.truecar.com/used-cars-for-sale/listing/1C6RRFFG6KN818124/2019-ram-1500/,1500,39998,USD,1C6RRFFG6KN818124,2019,Ram,Pickup Truck,Gas,Maximum Steel Metallic Clearcoat,Black,Automatic,3.6L V-6 Gas,22551,4WD,https://listings-prod.tcimg.net/listings/5613/24/81/1C6RRFFG6KN818124/YTH3XQ34XVO6UUI2MMIU4PVWAE-og-60.jpg | https://listings-prod.tcimg.net/listings/5613/24/81/1C6RRFFG6KN818124/UM2WJNNE7GOUD7KSDNH6U3ZLVE-og-60.jpg | https://listings-prod.tcimg.net/listings/5613/24/81/1C6RRFFG6KN818124/3TSP3M74UFTI4EFIRE3E3QOVII-og-60.jpg | https://listings-prod.tcimg.net/listings/5613/24/81/1C6RRFFG6KN818124/XXDJAWFCYZPPFUDSNSVBDGHYU4-og-60.jpg | https://listings-prod.tcimg.net/listings/5613/24/81/1C6RRFFG6KN818124/MAVPTXIN7LKG2SQGJ7BUMTHVH4-og-60.jpg,truecar,90e216bb-7b51-520a-bd69-cd672eccf792,07/13/22
2020 Jeep Compass,https://www.truecar.com/used-cars-for-sale/listing/3C4NJDCB8LT221361/2020-jeep-compass/,Compass,28455,USD,3C4NJDCB8LT221361,2020,Jeep,SUV,Gas,Granite Crystal Metallic Clearcoat,Black,Automatic,2.4L Inline-4 Gas,42961,4WD,https://listings-prod.tcimg.net/listings/4143/61/13/3C4NJDCB8LT221361/5YKJINTKHQMS4TU3JYYLRGUD6A-cr-60.jpg | https://listings-prod.tcimg.net/listings/4143/61/13/3C4NJDCB8LT221361/Y5WMAEBZTHAFFJO73BLHKUO4HI-cr-60.jpg | https://listings-prod.tcimg.net/listings/4143/61/13/3C4NJDCB8LT221361/SRQQNFCUZRLRL2M6OY4MLZNM7U-cr-60.jpg | https://listings-prod.tcimg.net/listings/4143/61/13/3C4NJDCB8LT221361/JBI7X7VOYOJOOT7H45VKJDVK7Y-cr-60.jpg | https://listings-prod.tcimg.net/listings/4143/61/13/3C4NJDCB8LT221361/C62ZRZNKNEYEGFPFA2PW7VK46Q-cr-60.jpg,truecar,76a2012b-d319-5c3d-a5e4-6d0d8b638bb6,07/13/22
2015 Toyota Sequoia,https://www.truecar.com/used-cars-for-sale/listing/5TDYY5G17FS059978/2015-toyota-sequoia/,Sequoia,31471,USD,5TDYY5G17FS059978,2015,Toyota,SUV,Gas,White,Sand Beige,Automatic,5.7L V-8 Gas,106061,RWD,https://listings-prod.tcimg.net/listings/86601/78/99/5TDYY5G17FS059978/HTPPNK2VL6P5VUJCFTKTZUR3B4-cr-60.jpg | https://listings-prod.tcimg.net/listings/86601/78/99/5TDYY5G17FS059978/JFCGC2NDJ6ZJTWIJXATA4HG5PU-cr-60.jpg | https://listings-prod.tcimg.net/listings/86601/78/99/5TDYY5G17FS059978/2GOFJ2MYI3RDWHR53E6PN44CZA-cr-60.jpg | https://listings-prod.tcimg.net/listings/86601/78/99/5TDYY5G17FS059978/2KMFSDKWB3B45OUETG6ZZURX6U-cr-60.jpg | https://listings-prod.tcimg.net/listings/86601/78/99/5TDYY5G17FS059978/HBIOQ73M4S646V2NCWTGJDB4X4-cr-60.jpg,truecar,03a683c1-8b58-57fe-ac24-4990a93e0714,07/13/22
2020 Tesla Model 3,https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EC1LF625035/2020-tesla-model-3/,Model 3,64928,USD,5YJ3E1EC1LF625035,2020,Tesla,Sedan,Electric,Pearl White Multi-Coat,Black,Automatic,L - Electric,19391,AWD,https://listings-prod.tcimg.net/listings/17885/35/50/5YJ3E1EC1LF625035/7OMHPKAQ5K6M5N35A5FH55NNWA-cr-60.jpg | https://listings-prod.tcimg.net/listings/17885/35/50/5YJ3E1EC1LF625035/54J72LRJUBXBWA3OZM6BS7B37I-cr-60.jpg | https://listings-prod.tcimg.net/listings/17885/35/50/5YJ3E1EC1LF625035/2A3DJDFLGTVIQM52QTUK5PCQOM-cr-60.jpg | https://listings-prod.tcimg.net/listings/17885/35/50/5YJ3E1EC1LF625035/L5XZNSIVCSYAN32KAOVV4AX66I-cr-60.jpg | https://listings-prod.tcimg.net/listings/17885/35/50/5YJ3E1EC1LF625035/IUHDMVHCGFAQK5EDJNVI4GDMXE-cr-60.jpg,truecar,6fbcb5bc-1d09-5998-bf8e-1b15fa587e8f,07/13/22
2017 Ford F-150,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1CG2HFA94376/2017-ford-f-150/,F-150,37779,USD,1FTEW1CG2HFA94376,2017,Ford,Pickup Truck,Gas,Magnetic Metallic,Black,Automatic,3.5L V-6 Gas Turbocharged,52523,RWD,,truecar,87f73906-1f76-5f5c-9182-8dfa1247dd0b,07/13/22
2021 Volkswagen Arteon,https://www.truecar.com/used-cars-for-sale/listing/WVWHR7AN7ME009556/2021-volkswagen-arteon/,Arteon,40956,USD,WVWHR7AN7ME009556,2021,Volkswagen,Hatchback,Gas,Lapiz Blue Metallic,Mistral Gray/Raven,Automatic,2.0L Inline-4 Gas Turbocharged,11142,FWD,https://listings-prod.tcimg.net/listings/35331/56/95/WVWHR7AN7ME009556/B5F2CFA7UOHJIXXYSO7JXH24IQ-cr-60.jpg | https://listings-prod.tcimg.net/listings/35331/56/95/WVWHR7AN7ME009556/N4FTNWWK66NJU7GLFHUAPRQ7IM-cr-60.jpg | https://listings-prod.tcimg.net/listings/35331/56/95/WVWHR7AN7ME009556/MHYFEAODTDQKZRTAKD4VOG6OHM-cr-60.jpg | https://listings-prod.tcimg.net/listings/35331/56/95/WVWHR7AN7ME009556/WCMJOQUSBNHCPOI5SKLUXEDXHM-cr-60.jpg | https://listings-prod.tcimg.net/listings/35331/56/95/WVWHR7AN7ME009556/GS26SRKO4WBSU2IDIYX7EZKVBI-cr-60.jpg,truecar,be4cc650-a279-5e51-ad38-06452bb5e2b2,07/13/22
2012 Chevrolet Equinox,https://www.truecar.com/used-cars-for-sale/listing/2GNALBEK3C6322975/2012-chevrolet-equinox/,Equinox,9991,USD,2GNALBEK3C6322975,2012,Chevrolet,SUV,Gas,Black,Jet Black,Automatic,2.4L Inline-4 Gas,140624,FWD,,truecar,d645522d-c6a0-58ef-8eaa-da4a8a2b8f55,07/13/22
